EIF4H,LIMK1,NSUN5,WBSCR22,BAZ1B,RFC2,HSPB2,TBL2,CDKN1C,STX1A,CRYAB,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
0,0.73,0,0,0,0.63,0,0,0,0,0,1,2.272039839,0.333600222,0.01566436,0.03143901,-0.17113792,0.206705744,-0.504248285,-1.175592128,-1.008470843
0.73,0,0.536,0,0,0.406,0,0.607,0.931,0,0,1,2.257127571,0.185817815,-0.394082163,0.32805778,-0.412651572,0.31532861,-0.164790242,-1.250857925,-0.863949875
0,0.536,0,0.532,0.425,0,0,0.675,0,0.425,0,1,2.399474545,0.187757481,-0.269666227,0.268404056,-0.107241519,-0.013553329,-0.726382013,-0.793592065,-0.945200929
0,0,0.532,0,0,0,0,0,0,0,0,1,2.418090291,-0.873821539,-0.433516834,0.066122135,-0.397652849,-0.846315006,-0.339536049,0.452945409,-0.046315558
0,0,0.425,0,0,0,0,0.504,0,0,0,2,1.260771009,1.178226156,1.391647989,-0.618381999,-0.320670886,-0.26082198,-0.626455734,-1.258297903,-0.746016653
0.63,0.406,0,0,0,0,0,0,0,0,0,2,2.238191457,0.45355185,0.662838797,-0.293280012,-0.062411113,-0.719416306,-0.814637354,-0.759419705,-0.705417614
0,0,0,0,0,0,0,0,0,0,0.877,3,-0.026075575,2.092736057,-0.726046761,-0.219262416,-0.795916336,-1.016599491,-0.457242959,0.069670482,1.078737
0,0.607,0.675,0,0.504,0,0,0,0,0.504,0,4,-1.685989199,-0.666066058,-0.738873071,0.224696941,-0.221583733,1.86357786,0.659313018,0.30579822,0.259126022
0,0.931,0,0,0,0,0,0,0,0,0,5,-1.220281388,-0.871340966,-0.720585773,-0.396820263,-0.375097405,0.417143131,1.428669793,1.646426796,0.091886076
0,0,0.425,0,0,0,0,0.504,0,0,0,5,-0.925535926,-0.547580937,-0.917419269,1.796362891,-0.537648416,-0.294076518,-0.300187272,0.222880276,1.50320517
0,0,0,0,0,0,0.877,0,0,0,0,6,-0.743819241,-0.743959566,-0.740636681,-0.665966814,-0.645904861,-0.318378261,0.820719781,1.30159414,1.736351503
